İlan Numarası,İlan Güncelleme Tarihi,İlçe,Mahalle,Kategorisi,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,İlan Oluşturma Tarihi,Türü,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Banyo Sayısı,Fiyat,Krediye Uygunluk,Balkon Durumu,Yatırıma Uygunluk,Site İçerisinde,Eşya Durumu,Takas,WC Sayısı
16094427,15 Ekim 2024,Gazipaşa Satılık Villa,Koru Mahallesi Satılık Villa,Satılık,220 m²,3+1,,Klimalı,15 Ekim 2024,Konut,Villa,225 m²,16-20,2,Boş,2,"8,950,000",Krediye Uygun Değil,,,Hayır,,,
16094436,15 Ekim 2024,Manavgat Satılık Daire,Ilıca Mahallesi Satılık Daire,Satılık,45 m²,1+1,Yüksek Giriş,Klimalı,15 Ekim 2024,Konut,Klimalı,55 m²,0 (Yeni),4,Boş,1,"3,250,000",Krediye Uygun,,,Hayır,,,
16093984,15 Ekim 2024,Muratpaşa Satılık Daire,Demircikara Mahallesi Satılık Daire,Satılık,100 m²,3+1,2.Kat,Kombi Doğalgaz,15 Ekim 2024,Konut,Kombi Doğalgaz,110 m²,4,4,Mülk Sahibi Oturuyor,1,"8,750,000",Krediye Uygun,Var,,Hayır,Boş,Yok,
16094421,15 Ekim 2024,Muratpaşa Satılık Daire,Yenigün Mahallesi Satılık Daire,Satılık,90 m²,2+1,2.Kat,Kombi Doğalgaz,15 Ekim 2024,Konut,Kombi Doğalgaz,100 m²,4,4,Boş,1,"3,700,000",Krediye Uygun,Var,,Hayır,Boş,Yok,
16089451,14 Ekim 2024,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,Satılık,100 m²,2+1,1.Kat,Klimalı,14 Ekim 2024,Konut,Klimalı,115 m²,5-10,11,Boş,2,"5,600,000",Krediye Uygun,Var,,Evet,Eşyalı,,
16091486,15 Ekim 2024,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,Satılık,49 m²,1+1,2.Kat,Klimalı,15 Ekim 2024,Konut,Klimalı,56 m²,0 (Yeni),4,Boş,1,"4,200,000",Krediye Uygun Değil,,,Hayır,Boş,Yok,1
16089591,14 Ekim 2024,Muratpaşa Satılık Daire,Güvenlik Mahallesi Satılık Daire,Satılık,140 m²,3+1,Kot 3 (-3).Kat,Klimalı,14 Ekim 2024,Konut,Daire,150 m²,21 Ve Üzeri,4,Boş,1,"3,200,000",,,,Hayır,,,
16089569,15 Ekim 2024,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,Satılık,95 m²,2+1,3.Kat,Klimalı,14 Ekim 2024,Konut,Daire,105 m²,2,4,Boş,2,"5,795,000",Bilinmiyor,,,Evet,,,
16089590,14 Ekim 2024,Gazipaşa Satılık Daire,Gazi Mahallesi Satılık Daire,Satılık,50 m²,1+1,Yüksek Giriş,Klimalı,14 Ekim 2024,Konut,Daire,55 m²,0 (Yeni),4,Boş,1,"1,850,000",Krediye Uygun Değil,Var,Yatırıma Uygun,Hayır,Eşyalı,Var,
16089630,14 Ekim 2024,Kaş Satılık Daire,Kalkan Mahallesi Satılık Daire,Satılık,65 m²,1+1,Düz Giriş (Zemin),Klimalı,14 Ekim 2024,Konut,Klimalı,75 m²,11-15,1,Mülk Sahibi Oturuyor,1,"5,600,000",Krediye Uygun,,,Hayır,Eşyalı,,
16089637,15 Ekim 2024,Kepez Satılık Daire,Şelale Mahallesi Satılık Daire,Satılık,105 m²,2+1,2.Kat,Klimalı,14 Ekim 2024,Konut,Klimalı,115 m²,0 (Yeni),4,Boş,1,"3,950,000",Krediye Uygun,Var,,Evet,,,
16089752,15 Ekim 2024,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,Satılık,95 m²,2+1,3.Kat,Klimalı,14 Ekim 2024,Konut,Daire,105 m²,2,4,Boş,2,"5,200,000",Bilinmiyor,,,Hayır,,,
16089644,14 Ekim 2024,Manavgat Satılık Daire,Side Mahallesi Satılık Daire,Satılık,50 m²,1+1,1.Kat,Klimalı,14 Ekim 2024,Konut,Klimalı,55 m²,0 (Yeni),3,Boş,2,"3,100,000",Krediye Uygun,Var,,Hayır,,,
16089666,15 Ekim 2024,Kepez Satılık Daire,Hüsnü Karakaş Mahallesi Satılık Daire,Satılık,120 m²,3+1,6.Kat,Klimalı,14 Ekim 2024,Konut,Daire,130 m²,11-15,6,Kiracı Oturuyor,1,"2,875,000",,Var,Yatırıma Uygun,Hayır,,,2
16089705,14 Ekim 2024,Muratpaşa Satılık Daire,Güzeloba Mahallesi Satılık Daire,Satılık,130 m²,3+1,1.Kat,Klimalı,14 Ekim 2024,Konut,Daire,150 m²,16-20,7,Boş,1,"5,800,000",,Var,Bilinmiyor,Hayır,Boş,Yok,2
16090205,14 Ekim 2024,Konyaaltı Satılık Daire,Altınkum Mahallesi Satılık Daire,Satılık,70 m²,2+1,1.Kat,Klimalı,14 Ekim 2024,Konut,Daire,80 m²,11-15,2,Boş,1,"5,200,000",,,,Hayır,,,
16089707,14 Ekim 2024,Manavgat Satılık Daire,Sarılar Mahallesi Satılık Daire,Satılık,90 m²,2+1,2.Kat,Klimalı,14 Ekim 2024,Konut,Daire,100 m²,0 (Yeni),3,Boş,1,"4,500,000",,,,Hayır,,,
16090022,14 Ekim 2024,Döşemealtı Satılık Daire,Bahçeyaka Mahallesi Satılık Daire,Satılık,100 m²,2+1,2.Kat,Yerden Isıtma,14 Ekim 2024,Konut,Daire,120 m²,0 (Yeni),5,Boş,2,"4,200,000",Bilinmiyor,Var,,Evet,Boş,Yok,
16090233,14 Ekim 2024,Kepez Satılık Daire,Demirel Mahallesi Satılık Daire,Satılık,55 m²,1+1,Yüksek Giriş,Klimalı,14 Ekim 2024,Konut,Daire,65 m²,0 (Yeni),4,Boş,1,"1,575,000",,Var,,Hayır,,Yok,1
16090285,14 Ekim 2024,Manavgat Satılık Daire,Evrenseki Mahallesi Satılık Daire,Satılık,45 m²,1+1,Yüksek Giriş,Isıtma Yok,14 Ekim 2024,Konut,Isıtma Yok,50 m²,0 (Yeni),3,Boş,1,"2,950,000",Krediye Uygun,,,Hayır,,,
16090318,14 Ekim 2024,Gazipaşa Satılık Daire,Pazarcı Mahallesi Satılık Daire,Satılık,100 m²,2+1,3.Kat,Klimalı,14 Ekim 2024,Konut,Klimalı,110 m²,5-10,4,Boş,1,"3,750,000",Krediye Uygun,,Bilinmiyor,Hayır,Boş,Yok,
16090541,14 Ekim 2024,İbradı Satılık Daire,Yukarı Mahallesi Satılık Daire,Satılık,200 m²,4+1,Müstakil,Sobalı,14 Ekim 2024,Konut,Daire,225 m²,21 Ve Üzeri,2,Boş,1,"3,500,000",Bilinmiyor,Var,Yatırıma Uygun,Hayır,Boş,Yok,1
16090328,15 Ekim 2024,Kepez Satılık Daire,Demirel Mahallesi Satılık Daire,Satılık,85 m²,2+1,1.Kat,Klimalı,14 Ekim 2024,Konut,Daire,95 m²,0 (Yeni),4,Boş,1,"2,250,000",,Var,Yatırıma Uygun,Hayır,Boş,Yok,2
16090362,14 Ekim 2024,Muratpaşa Satılık Daire,Etiler Mahallesi Satılık Daire,Satılık,120 m²,3+1,2.Kat,Kombi Doğalgaz,14 Ekim 2024,Konut,Daire,130 m²,5-10,4,Boş,1,"4,500,000",,,,Hayır,,,
16090399,14 Ekim 2024,Alanya Satılık Villa,İncekum Mahallesi Satılık Villa,Satılık,160 m²,3+1,,Klimalı,14 Ekim 2024,Konut,Villa,175 m²,11-15,3,Mülk Sahibi Oturuyor,2,"9,300,000",,,,Hayır,Eşyalı,Var,2
16090317,14 Ekim 2024,Kepez Satılık Daire,Kuzeyyaka Mahallesi Satılık Daire,Satılık,90 m²,2+1,Yüksek Giriş,Klimalı,14 Ekim 2024,Konut,Daire,100 m²,4,4,Boş,1,"2,099,000",,,,Hayır,,,
16090570,14 Ekim 2024,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,Satılık,110 m²,2+1,5.Kat,Klimalı,14 Ekim 2024,Konut,Daire,120 m²,5-10,11,Boş,1,"5,320,000",,Var,Yatırıma Uygun,Evet,Eşyalı,Var,1
16085926,14 Ekim 2024,Gazipaşa Satılık Daire,Gazi Mahallesi Satılık Daire,Satılık,65 m²,1+1,4.Kat,Klimalı,14 Ekim 2024,Konut,Daire,75 m²,4,5,Boş,1,"2,250,000",,Var,Yatırıma Uygun,Hayır,Boş,Yok,
16085433,14 Ekim 2024,Alanya Satılık Daire,Cikcilli Mahallesi Satılık Daire,Satılık,42 m²,1+1,2.Kat,Klimalı,14 Ekim 2024,Konut,Klimalı,62 m²,0 (Yeni),5,Boş,1,"3,500,000",Krediye Uygun Değil,,Bilinmiyor,Hayır,,Yok,
16085047,14 Ekim 2024,Manavgat Satılık Daire,Sarılar Mahallesi Satılık Daire,Satılık,90 m²,2+1,Bahçe Katı,Klimalı,14 Ekim 2024,Konut,Klimalı,110 m²,4,3,Mülk Sahibi Oturuyor,1,"2,380,000",Krediye Uygun,,Bilinmiyor,Hayır,Boş,Yok,
16084848,14 Ekim 2024,Alanya Satılık Daire,Cikcilli Mahallesi Satılık Daire,Satılık,210 m²,3+2,9.Kat,Klimalı,14 Ekim 2024,Konut,Klimalı,230 m²,5-10,9,Boş,3,"16,941,000",Krediye Uygun,,Bilinmiyor,Evet,Eşyalı,Yok,
16086062,14 Ekim 2024,Muratpaşa Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,Satılık,100 m²,2+1,2.Kat,Kombi Doğalgaz,14 Ekim 2024,Konut,Kombi Doğalgaz,110 m²,5-10,5,Boş,1,"3,900,000",Krediye Uygun,Var,,Hayır,Boş,Yok,
16086494,14 Ekim 2024,Manavgat Satılık Daire,Kavaklı Mahallesi Satılık Daire,Satılık,75 m²,2+1,Yüksek Giriş,Klimalı,14 Ekim 2024,Konut,Klimalı,90 m²,2,3,Kiracı Oturuyor,1,"3,700,000",Bilinmiyor,,,Hayır,,,
16086448,14 Ekim 2024,Kumluca Satılık Daire,Karşıyaka Mahallesi Satılık Daire,Satılık,165 m²,3+1,1.Kat,Klimalı,14 Ekim 2024,Konut,Daire,185 m²,5-10,11,Mülk Sahibi Oturuyor,1,"5,200,000",,,,Evet,,,
16086362,14 Ekim 2024,Döşemealtı Satılık Daire,Altınkale Mahallesi Satılık Daire,Satılık,75 m²,2+1,1.Kat,Kombi Doğalgaz,14 Ekim 2024,Konut,Kombi Doğalgaz,90 m²,0 (Yeni),3,Boş,2,"3,850,000",Krediye Uygun Değil,,Bilinmiyor,Hayır,Boş,Var,
16086261,14 Ekim 2024,Gazipaşa Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,Satılık,60 m²,1+1,1.Kat,Klimalı,14 Ekim 2024,Konut,Daire,73 m²,4,5,Boş,1,"2,400,000",,,,Hayır,,,
16085710,14 Ekim 2024,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,Satılık,200 m²,4+1,5.Kat,Klimalı,14 Ekim 2024,Konut,Klimalı,222 m²,4,5,Boş,2,"15,050,000",Krediye Uygun Değil,,Bilinmiyor,Evet,Boş,Yok,
16085928,14 Ekim 2024,Kepez Satılık Daire,Yeşilyurt Mahallesi Satılık Daire,Satılık,160 m²,3+1,1.Kat,Isıtma Yok,14 Ekim 2024,Konut,Daire,175 m²,16-20,3,Boş,2,"3,650,000",,,,Hayır,,,
16086503,14 Ekim 2024,Muratpaşa Satılık Daire,Sedir Mahallesi Satılık Daire,Satılık,125 m²,3+1,4.Kat,Klimalı,14 Ekim 2024,Konut,Klimalı,135 m²,21 Ve Üzeri,6,Kiracı Oturuyor,1,"2,900,000",Krediye Uygun,,,Hayır,,,
16087162,14 Ekim 2024,Gazipaşa Satılık Daire,Pazarcı Mahallesi Satılık Daire,Satılık,48 m²,1+1,Yüksek Giriş,Klimalı,14 Ekim 2024,Konut,Daire,55 m²,3,4,Boş,1,"1,600,000",,Var,Yatırıma Uygun,Hayır,Boş,Yok,
16087746,14 Ekim 2024,Alanya Satılık Daire,Küçükhasbahçe Mahallesi Satılık Daire,Satılık,50 m²,1+1,1.Kat,Klimalı,14 Ekim 2024,Konut,Daire,55 m²,0 (Yeni),4,Boş,1,"3,450,000",,,,Hayır,,,
16093806,15 Ekim 2024,Konyaaltı Satılık Daire,Gürsu Mahallesi Satılık Daire,Satılık,110 m²,3+1,Yüksek Giriş,Klimalı,15 Ekim 2024,Konut,Klimalı,125 m²,11-15,3,Boş,2,"6,750,000",Krediye Uygun,,Bilinmiyor,Hayır,Boş,Yok,
16087610,14 Ekim 2024,Aksu Satılık Daire,Altıntaş Mahallesi Satılık Daire,Satılık,80 m²,2+1,Kot 4 (-4).Kat,Klimalı,14 Ekim 2024,Konut,Daire,90 m²,0 (Yeni),4,Kiracı Oturuyor,1,"4,250,000",,Var,Yatırıma Uygun,Hayır,Boş,Yok,1
16087811,15 Ekim 2024,Kemer Satılık Daire,Kuzdere Mahallesi Satılık Daire,Satılık,140 m²,4+1,2.Kat,Klimalı,14 Ekim 2024,Konut,Klimalı,168 m²,0 (Yeni),2,Boş,2,"6,500,000",Krediye Uygun,Var,Yatırıma Uygun,Hayır,Boş,Var,2
16087837,14 Ekim 2024,Kepez Satılık Daire,Kütükçü Mahallesi Satılık Daire,Satılık,160 m²,5+1,1.Kat,Kombi Doğalgaz,14 Ekim 2024,Konut,Kombi Doğalgaz,180 m²,0 (Yeni),4,Boş,2,"4,200,000",Krediye Uygun,,,Evet,,,
16088133,14 Ekim 2024,Alanya Satılık Daire,Çıplaklı Mahallesi Satılık Daire,Satılık,120 m²,2+1,3.Kat,Klimalı,14 Ekim 2024,Konut,Klimalı,130 m²,0 (Yeni),5,Boş,2,"3,850,000",Krediye Uygun,,,Hayır,,,
16088831,14 Ekim 2024,Muratpaşa Satılık Daire,Dutlubahçe Mahallesi Satılık Daire,Satılık,56 m²,1+1,Yüksek Giriş,Klimalı,14 Ekim 2024,Konut,Klimalı,60 m²,11-15,3,Mülk Sahibi Oturuyor,1,"1,980,000",Krediye Uygun,Var,,Hayır,Boş,Yok,
16086518,14 Ekim 2024,Kepez Satılık Daire,Kepez Mahallesi Satılık Daire,Satılık,76 m²,2+1,6.Kat,Merkezi (Pay Ölçer),14 Ekim 2024,Konut,Merkezi (Pay Ölçer),86 m²,1,11,Boş,1,"3,300,000",Krediye Uygun Değil,,Bilinmiyor,Evet,Boş,Yok,
16088378,15 Ekim 2024,Manavgat Satılık Daire,Ilıca Mahallesi Satılık Daire,Satılık,100 m²,2+1,3.Kat,Sobalı,14 Ekim 2024,Konut,Sobalı,120 m²,0 (Yeni),4,Boş,2,"6,000,000",Krediye Uygun,,,Hayır,,,
16088792,14 Ekim 2024,Kepez Satılık Daire,Fevzi Çakmak Mahallesi Satılık Daire,Satılık,100 m²,2+1,1.Kat,Klimalı,14 Ekim 2024,Konut,Daire,110 m²,0 (Yeni),2,Boş,1,"2,565,000",,,,Hayır,,,
